d,tp,b_mla,QKV(us),ATTN(us),O(us),Shared(us),Up_Gemm(us),Down_Gemm(us),Dispatch_AlltoAll(us),Combine_AlltoAll(us),AllReduce(us),t_{dense_layer}(us),t_{moe_layer}(us),TPOT(ms),Single-Device Throughput(Tokens/s)
16,8,128,20,276,13,23,182,98,5,5,16,628,628,38,421
24,8,32,24,84,13,26,124,68,5,5,5,344,344,20,200
24,8,64,17,144,12,21,125,68,5,5,8,395,395,24,333
24,8,128,20,276,13,23,125,68,5,10,16,541,541,33,484
32,8,32,24,84,13,26,105,54,5,5,5,311,311,18,222
32,8,64,17,144,12,21,98,54,5,8,8,354,354,21,380
32,8,128,20,276,13,23,97,54,8,16,16,499,499,30,533
32,8,256,24,516,16,29,98,55,16,32,33,771,771,47,680
48,8,16,27,61,14,29,70,39,5,5,5,245,245,14,142
48,8,32,24,84,13,26,69,38,5,6,5,259,259,15,266
48,8,64,17,144,12,21,69,38,6,13,8,309,309,18,444
48,8,128,20,276,13,23,70,39,13,27,16,457,457,27,592
48,8,256,24,516,16,29,70,39,27,54,33,727,742,45,711
72,8,16,27,61,14,29,48,27,5,5,5,211,211,12,166
72,8,32,24,84,13,26,48,27,5,10,5,227,227,13,307
72,8,64,17,144,12,21,48,27,10,21,8,277,277,16,500
72,8,128,20,276,13,23,48,27,21,43,16,423,439,26,615
72,8,256,24,516,16,29,48,27,43,87,33,693,767,46,695
96,8,8,28,34,14,29,38,22,5,5,5,170,170,10,100
96,8,16,27,61,14,29,37,21,5,5,5,194,194,11,181
96,8,32,24,84,13,26,37,21,5,10,5,210,210,12,333
96,8,64,17,144,12,21,38,21,10,21,8,261,261,15,533
96,8,128,20,276,13,23,38,21,21,43,16,407,429,26,615
96,8,256,24,516,16,29,40,23,43,87,33,681,759,46,695
144,8,8,28,34,14,29,28,12,5,5,5,150,150,9,111
144,8,16,27,61,14,29,27,12,5,5,5,175,175,10,200
144,8,32,24,84,13,26,27,12,5,10,5,191,191,11,363
144,8,64,17,144,12,21,26,12,10,21,8,240,249,15,533
144,8,128,20,276,13,23,26,12,21,43,16,386,417,25,640
144,8,256,24,516,16,29,28,13,43,87,33,659,747,45,711
288,8,8,28,34,14,29,20,9,5,5,5,139,139,8,125
288,8,16,27,61,14,29,20,8,5,5,5,164,164,10,200
288,8,32,24,84,13,26,18,8,5,10,5,178,180,10,400
288,8,64,17,144,12,21,14,6,10,21,8,222,237,14,571
288,8,128,20,276,13,23,15,8,21,43,16,371,406,24,666
288,8,256,24,516,16,29,18,10,43,87,33,646,737,44,727
