matrix_idx,tp,batch,m,n,k,time_us,throughput_TFLOPS,bandwidth_GBps
3,1,128,8,512,128,5,29,1978
3,2,64,8,512,128,3,21,1391
3,4,32,8,512,128,2,18,1180
3,8,16,8,512,128,2,10,695
9,1,128,8,128,512,4,30,2020
9,2,64,8,128,512,2,30,1989
9,4,32,8,128,512,2,18,1194
9,8,16,8,128,512,2,9,621
3,1,128,16,512,128,5,56,2038
3,2,64,16,512,128,3,41,1494
3,4,32,16,512,128,2,33,1178
3,8,16,16,512,128,2,20,720
9,1,128,16,128,512,5,56,2031
9,2,64,16,128,512,2,54,1945
9,4,32,16,128,512,2,35,1256
9,8,16,16,128,512,2,18,655
3,1,128,32,512,128,5,103,2103
3,2,64,32,512,128,3,80,1636
3,4,32,32,512,128,2,55,1137
3,8,16,32,512,128,2,36,742
9,1,128,32,128,512,6,93,1909
9,2,64,32,128,512,3,87,1774
9,4,32,32,128,512,2,60,1227
9,8,16,32,128,512,2,36,733
3,1,128,64,512,128,8,142,1799
3,2,64,64,512,128,4,133,1687
3,4,32,64,512,128,3,81,1029
3,8,16,64,512,128,2,59,747
9,1,128,64,128,512,8,128,1630
9,2,64,64,128,512,5,119,1508
9,4,32,64,128,512,3,93,1177
9,8,16,64,128,512,2,61,769
3,1,128,128,512,128,12,181,1593
3,2,64,128,512,128,7,164,1442
3,4,32,128,512,128,5,110,970
3,8,16,128,512,128,3,84,742
9,1,128,128,128,512,13,161,1419
9,2,64,128,128,512,8,140,1230
9,4,32,128,128,512,4,124,1093
9,8,16,128,128,512,3,93,821
3,1,128,256,512,128,21,207,1418
3,2,64,256,512,128,11,189,1294
3,4,32,256,512,128,7,163,1114
3,8,16,256,512,128,5,113,772
9,1,128,256,128,512,21,205,1401
9,2,64,256,128,512,13,164,1121
9,4,32,256,128,512,7,148,1010
9,8,16,256,128,512,4,124,849
