d,tp,b_mla,QKV(us),ATTN(us),O(us),Shared(us),Up_Gemm(us),Down_Gemm(us),Dispatch_AlltoAll(us),Combine_AlltoAll(us),AllReduce(us),t_{dense_layer}(us),t_{moe_layer}(us),TPOT(ms),Single-Device Throughput(Tokens/s)
96,4,256,61,1441,69,94,177,91,87,175,28,3922,3922,239,535
144,4,8,24,75,21,31,34,20,5,5,5,420,420,25,160
144,4,16,25,138,21,31,34,20,5,10,5,548,548,33,242
144,4,32,24,208,21,31,34,20,10,21,5,686,686,41,390
144,4,64,25,410,22,31,34,21,21,43,7,1100,1100,67,477
144,4,128,37,737,36,50,62,34,43,87,14,1940,1940,118,542
144,4,256,61,1441,69,94,119,65,87,175,28,3754,3754,228,561
288,4,8,24,75,21,31,20,11,5,5,5,374,374,22,181
288,4,16,25,138,21,31,20,11,5,10,5,502,502,30,266
288,4,32,24,208,21,31,20,11,10,21,5,640,640,39,410
288,4,64,25,410,22,31,33,18,21,43,7,1092,1092,66,484
288,4,128,37,737,36,50,61,33,43,87,14,1936,1936,118,542
288,4,256,61,1441,69,94,120,64,87,175,28,3754,3754,228,561
16,8,64,21,370,13,31,278,145,5,5,8,1732,1732,105,152
16,8,128,30,755,21,50,278,145,5,5,16,2590,2590,157,203
24,8,32,21,190,13,31,176,101,5,5,5,1074,1074,65,123
24,8,64,21,370,13,31,176,102,5,5,8,1442,1442,87,183
24,8,128,30,755,21,50,176,101,5,10,16,2298,2298,140,228
32,8,32,21,190,13,31,141,76,5,5,5,954,954,58,137
32,8,64,21,370,13,31,141,76,5,8,8,1320,1320,80,200
32,8,128,30,755,21,50,142,76,8,16,16,2180,2180,132,242
32,8,256,49,1468,37,94,142,76,16,32,33,3798,3798,231,277
48,8,16,22,121,13,31,96,52,5,5,5,680,680,41,97
48,8,32,21,190,13,31,96,52,5,6,5,816,816,49,163
48,8,64,21,370,13,31,96,52,6,13,8,1182,1182,72,222
48,8,128,30,755,21,50,96,52,13,27,16,2040,2040,124,258
48,8,256,49,1468,37,94,96,53,27,54,33,3660,3660,223,286
72,8,16,22,121,13,31,65,36,5,5,5,586,586,35,114
72,8,32,21,190,13,31,65,36,5,10,5,722,722,44,181
72,8,64,21,370,13,31,65,36,10,21,8,1088,1088,66,242
72,8,128,30,755,21,50,65,36,21,43,16,1946,1946,118,271
72,8,256,49,1468,37,94,65,36,43,87,33,3564,3564,217,294
96,8,8,22,54,13,31,49,29,5,5,5,406,406,24,83
96,8,16,22,121,13,31,49,29,5,5,5,540,540,32,125
96,8,32,21,190,13,31,49,29,5,10,5,676,676,41,195
96,8,64,21,370,13,31,50,29,10,21,8,1044,1044,63,253
96,8,128,30,755,21,50,50,29,21,43,16,1902,1902,116,275
96,8,256,49,1468,37,94,88,50,43,87,33,3638,3638,221,289
144,8,8,22,54,13,31,34,20,5,5,5,358,358,21,95
144,8,16,22,121,13,31,34,20,5,5,5,492,492,30,133
144,8,32,21,190,13,31,34,20,5,10,5,628,628,38,210
144,8,64,21,370,13,31,34,20,10,21,8,994,994,60,266
144,8,128,30,755,21,50,34,21,21,43,16,1854,1854,113,283
144,8,256,49,1468,37,94,62,34,43,87,33,3554,3554,216,296
288,8,8,22,54,13,31,20,11,5,5,5,312,312,19,105
288,8,16,22,121,13,31,20,11,5,5,5,446,446,27,148
288,8,32,21,190,13,31,20,11,5,10,5,582,582,35,228
288,8,64,21,370,13,31,20,11,10,21,8,948,948,57,280
288,8,128,30,755,21,50,33,18,21,43,16,1846,1846,112,285
288,8,256,49,1468,37,94,61,33,43,87,33,3550,3550,216,296
