b,s_q,mean_sk,h_q,h_kv,d,dv,causal,varlen,latency,tflops,bandwidth
,,,,,,,,,,,
8,1,5000,128,1,576,512,True,False,0.047,236,1025
8,1,5000,128,1,576,512,True,True,0.045,236,1026
8,2,5000,128,1,576,512,True,False,0.061,368,834
8,2,5000,128,1,576,512,True,True,0.061,377,853
8,1,5000,64,1,576,512,True,False,0.042,134,1134
8,1,5000,64,1,576,512,True,True,0.038,121,1030
8,2,5000,64,1,576,512,True,False,0.046,242,1051
8,2,5000,64,1,576,512,True,True,0.047,255,1103
8,1,5000,32,1,576,512,True,False,0.039,72,1204
8,1,5000,32,1,576,512,True,True,0.043,77,1289
8,2,5000,32,1,576,512,True,False,0.041,134,1138
8,2,5000,32,1,576,512,True,True,0.042,135,1147
8,1,5000,16,1,576,512,True,False,0.038,37,1227
8,1,5000,16,1,576,512,True,True,0.034,32,1079
8,2,5000,16,1,576,512,True,False,0.039,72,1210
8,2,5000,16,1,576,512,True,True,0.039,73,1221
16,1,5000,128,1,576,512,True,False,0.068,327,1418
16,1,5000,128,1,576,512,True,True,0.069,328,1422
16,2,5000,128,1,576,512,True,False,0.099,451,1022
16,2,5000,128,1,576,512,True,True,0.115,458,1025
16,1,5000,64,1,576,512,True,False,0.060,187,1584
16,1,5000,64,1,576,512,True,True,0.059,180,1526
16,2,5000,64,1,576,512,True,False,0.067,334,1449
16,2,5000,64,1,576,512,True,True,0.066,312,1359
16,1,5000,32,1,576,512,True,False,0.056,99,1653
16,1,5000,32,1,576,512,True,True,0.067,110,1833
16,2,5000,32,1,576,512,True,False,0.060,187,1586
16,2,5000,32,1,576,512,True,True,0.059,181,1533
16,1,5000,16,1,576,512,True,False,0.055,50,1671
16,1,5000,16,1,576,512,True,True,0.061,53,1752
16,2,5000,16,1,576,512,True,False,0.056,99,1653
16,2,5000,16,1,576,512,True,True,0.054,90,1514
32,1,5000,128,1,576,512,True,False,0.108,413,1791
32,1,5000,128,1,576,512,True,True,0.105,391,1702
32,2,5000,128,1,576,512,True,False,0.167,533,1208
32,2,5000,128,1,576,512,True,True,0.191,500,1127
32,1,5000,64,1,576,512,True,False,0.091,244,2071
32,1,5000,64,1,576,512,True,True,0.093,233,1974
32,2,5000,64,1,576,512,True,False,0.107,418,1813
32,2,5000,64,1,576,512,True,True,0.114,413,1785
32,1,5000,32,1,576,512,True,False,0.087,128,2146
32,1,5000,32,1,576,512,True,True,0.090,127,2121
32,2,5000,32,1,576,512,True,False,0.091,245,2074
32,2,5000,32,1,576,512,True,True,0.104,248,2091
32,1,5000,16,1,576,512,True,False,0.085,65,2170
32,1,5000,16,1,576,512,True,True,0.084,63,2089
32,2,5000,16,1,576,512,True,False,0.087,128,2149
32,2,5000,16,1,576,512,True,True,0.093,129,2158
64,1,5000,128,1,576,512,True,False,0.180,495,2145
64,1,5000,128,1,576,512,True,True,0.192,457,1985
64,2,5000,128,1,576,512,True,False,0.328,543,1232
64,2,5000,128,1,576,512,True,True,0.326,532,1208
64,1,5000,64,1,576,512,True,False,0.156,286,2422
64,1,5000,64,1,576,512,True,True,0.159,276,2343
64,2,5000,64,1,576,512,True,False,0.178,500,2169
64,2,5000,64,1,576,512,True,True,0.194,464,2011
64,1,5000,32,1,576,512,True,False,0.150,149,2488
64,1,5000,32,1,576,512,True,True,0.162,148,2478
64,2,5000,32,1,576,512,True,False,0.155,287,2433
64,2,5000,32,1,576,512,True,True,0.167,281,2376
64,1,5000,16,1,576,512,True,False,0.147,76,2526
64,1,5000,16,1,576,512,True,True,0.144,75,2491
64,2,5000,16,1,576,512,True,False,0.149,149,2503
64,2,5000,16,1,576,512,True,True,0.155,146,2449
128,1,5000,128,1,576,512,True,False,0.343,520,2254
128,1,5000,128,1,576,512,True,True,0.365,497,2153
128,2,5000,128,1,576,512,True,False,0.643,554,1257
128,2,5000,128,1,576,512,True,True,0.659,552,1249
128,1,5000,64,1,576,512,True,False,0.270,330,2799
128,1,5000,64,1,576,512,True,True,0.297,304,2573
128,2,5000,64,1,576,512,True,False,0.344,518,2248
128,2,5000,64,1,576,512,True,True,0.346,497,2159
128,1,5000,32,1,576,512,True,False,0.267,167,2797
128,1,5000,32,1,576,512,True,True,0.276,159,2665
128,2,5000,32,1,576,512,True,False,0.269,331,2802
128,2,5000,32,1,576,512,True,True,0.291,304,2578
128,1,5000,16,1,576,512,True,False,0.265,84,2798
128,1,5000,16,1,576,512,True,True,0.276,82,2735
128,2,5000,16,1,576,512,True,False,0.265,168,2815
128,2,5000,16,1,576,512,True,True,0.289,161,2689
256,1,5000,128,1,576,512,True,False,0.690,516,2239
256,1,5000,128,1,576,512,True,True,0.686,518,2245
256,2,5000,128,1,576,512,True,False,1.281,557,1262
256,2,5000,128,1,576,512,True,True,1.367,560,1262
256,1,5000,64,1,576,512,True,False,0.515,346,2933
256,1,5000,64,1,576,512,True,True,0.548,325,2753
256,2,5000,64,1,576,512,True,False,0.681,524,2270
256,2,5000,64,1,576,512,True,True,0.653,523,2271
256,1,5000,32,1,576,512,True,False,0.506,176,2952
256,1,5000,32,1,576,512,True,True,0.520,171,2860
256,2,5000,32,1,576,512,True,False,0.515,346,2933
256,2,5000,32,1,576,512,True,True,0.542,327,2767
256,1,5000,16,1,576,512,True,False,0.501,89,2962
256,1,5000,16,1,576,512,True,True,0.516,88,2925
256,2,5000,16,1,576,512,True,False,0.505,176,2955
256,2,5000,16,1,576,512,True,True,0.521,171,2859
