d,tp,b_mla,QKV(us),ATTN(us),O(us),Shared(us),Up_Gemm(us),Down_Gemm(us),Dispatch_AlltoAll(us),Combine_AlltoAll(us),AllReduce(us),t_{dense_layer}(us),t_{moe_layer}(us),TPOT(ms),Single-Device Throughput(Tokens/s)
16,1,8,44,110,66,31,278,145,5,5,0,674,674,41,195
16,1,16,44,208,67,31,278,145,5,5,0,773,773,47,340
16,1,32,43,362,68,31,278,145,5,10,0,927,927,56,571
16,1,64,47,745,70,31,279,146,10,21,0,1318,1318,80,800
24,1,8,44,110,66,31,176,102,5,5,0,529,529,32,250
24,1,16,44,208,67,31,176,102,5,10,0,628,628,38,421
24,1,32,43,362,68,31,176,102,10,21,0,782,782,47,680
24,1,64,47,745,70,31,176,102,21,43,0,1171,1171,71,901
24,1,128,75,1481,128,50,336,192,43,87,0,2262,2262,137,934
32,1,8,44,110,66,31,141,76,5,8,0,468,468,28,285
32,1,16,44,208,67,31,142,76,8,16,0,568,568,34,470
32,1,32,43,362,68,31,142,76,16,32,0,722,722,44,727
32,1,64,47,745,70,31,142,77,32,65,0,1112,1113,67,955
32,1,128,75,1481,128,50,270,137,65,131,0,2141,2156,131,977
48,1,8,44,110,66,31,96,52,6,13,0,399,399,24,333
48,1,16,44,208,67,31,96,52,13,27,0,498,498,30,533
48,1,32,43,362,68,31,96,52,27,54,0,652,654,39,820
48,1,64,47,745,70,31,178,92,54,109,0,1163,1203,73,876
48,1,128,75,1481,128,50,336,190,109,219,0,2260,2348,142,901
48,1,256,135,2833,247,94,668,377,219,438,0,4354,4540,276,927
72,1,8,44,110,66,31,65,36,10,21,0,352,352,21,380
72,1,16,44,208,67,31,65,36,21,43,0,451,458,27,592
72,1,32,43,362,68,31,65,36,43,87,0,605,668,40,800
72,1,64,47,745,70,31,120,66,87,175,0,1079,1244,75,853
72,1,128,75,1481,128,50,235,128,175,350,0,2097,2444,148,864
72,1,256,135,2833,247,94,468,252,350,701,0,4029,4734,286,895
96,1,8,44,110,66,31,50,29,10,21,0,330,330,20,400
96,1,16,44,208,67,31,50,29,21,43,0,429,443,26,615
96,1,32,43,362,68,31,88,50,43,87,0,642,691,42,761
96,1,64,47,745,70,31,178,91,87,175,0,1162,1302,79,810
96,1,128,75,1481,128,50,336,190,175,350,0,2260,2545,154,831
96,1,256,135,2833,247,94,668,376,350,701,0,4353,4934,299,856
144,1,8,44,110,66,31,34,20,10,21,0,305,306,18,444
144,1,16,44,208,67,31,34,21,21,43,0,405,427,25,640
144,1,32,43,362,68,31,62,34,43,87,0,600,665,40,800
144,1,64,47,745,70,31,120,65,87,175,0,1078,1244,75,853
144,1,128,75,1481,128,50,235,127,175,350,0,2096,2444,148,864
144,1,256,135,2833,247,94,468,252,350,701,0,4029,4734,286,895
288,1,8,44,110,66,31,20,11,10,21,0,282,292,17,470
288,1,16,44,208,67,31,33,18,21,43,0,401,426,25,640
288,1,32,43,362,68,31,61,33,43,87,0,598,664,40,800
288,1,64,47,745,70,31,119,65,87,175,0,1077,1243,75,853
288,1,128,75,1481,128,50,234,128,175,350,0,2096,2443,147,870
288,1,256,135,2833,247,94,468,253,350,701,0,4030,4734,286,895
16,2,16,32,111,35,31,278,145,5,5,5,637,637,38,210
16,2,32,31,202,36,31,278,145,5,5,5,728,728,44,363
16,2,64,32,385,38,31,278,146,5,10,5,915,915,55,581
24,2,8,32,61,35,31,176,101,5,5,5,441,441,26,153
24,2,16,32,111,35,31,176,102,5,5,5,492,492,30,266
24,2,32,31,202,36,31,176,102,5,10,5,583,583,35,457
24,2,64,32,385,38,31,176,102,10,21,5,769,769,46,695
24,2,128,49,743,68,50,176,102,21,43,9,1197,1197,73,876
32,2,8,32,61,35,31,141,76,5,5,5,381,381,23,173
32,2,16,32,111,35,31,141,76,5,8,5,431,431,26,307
32,2,32,31,202,36,31,142,76,8,16,5,523,523,31,516
32,2,64,32,385,38,31,142,76,16,32,5,709,709,43,744
32,2,128,49,743,68,50,142,77,32,65,9,1138,1138,69,927
48,2,8,32,61,35,31,96,52,5,6,5,312,312,19,210
48,2,16,32,111,35,31,96,52,6,13,5,362,362,22,363
48,2,32,31,202,36,31,96,52,13,27,5,453,453,27,592
48,2,64,32,385,38,31,96,53,27,54,5,640,641,39,820
48,2,128,49,743,68,50,178,92,54,109,9,1189,1210,73,876
48,2,256,86,1456,129,94,336,190,109,219,18,2309,2353,143,895
72,2,8,32,61,35,31,65,36,5,10,5,265,265,16,250
72,2,16,32,111,35,31,65,36,10,21,5,315,315,19,421
72,2,32,31,202,36,31,65,36,21,43,5,406,413,25,640
72,2,64,32,385,38,31,66,36,43,87,5,593,656,39,820
72,2,128,49,743,68,50,120,66,87,175,9,1105,1251,75,853
72,2,256,86,1456,129,94,235,128,175,350,18,2146,2449,148,864
96,2,8,32,61,35,31,49,29,5,10,5,242,242,14,285
96,2,16,32,111,35,31,50,29,10,21,5,293,293,17,470
96,2,32,31,202,36,31,50,29,21,43,5,384,398,24,666
