d,tp,b_mla,QKV(us),ATTN(us),O(us),Shared(us),Up_Gemm(us),Down_Gemm(us),Dispatch_AlltoAll(us),Combine_AlltoAll(us),AllReduce(us),t_{dense_layer}(us),t_{moe_layer}(us),TPOT(ms),Single-Device Throughput(Tokens/s)
96,2,64,32,385,38,31,88,50,43,87,5,629,678,41,780
96,2,128,49,743,68,50,177,91,87,175,9,1187,1308,79,810
96,2,256,86,1456,129,94,336,190,175,350,18,2309,2550,154,831
144,2,8,32,61,35,31,34,20,5,10,5,218,218,13,307
144,2,16,32,111,35,31,34,20,10,21,5,268,269,16,500
144,2,32,31,202,36,31,34,21,21,43,5,360,382,23,695
144,2,64,32,385,38,31,62,34,43,87,5,587,652,39,820
144,2,128,49,743,68,50,120,65,87,175,9,1104,1251,75,853
144,2,256,86,1456,129,94,235,127,175,350,18,2145,2449,148,864
288,2,8,32,61,35,31,20,11,5,10,5,195,195,11,363
288,2,16,32,111,35,31,20,11,10,21,5,245,255,15,533
288,2,32,31,202,36,31,33,18,21,43,5,356,381,23,695
288,2,64,32,385,38,31,61,33,43,87,5,585,651,39,820
288,2,128,49,743,68,50,119,65,87,175,9,1103,1250,75,853
288,2,256,86,1456,129,94,234,128,175,350,18,2145,2448,148,864
16,4,32,24,208,21,31,278,145,5,5,5,712,712,43,186
16,4,64,25,411,22,31,278,145,5,5,7,919,919,56,285
16,4,128,37,740,36,50,278,146,5,10,14,1301,1301,79,405
24,4,16,25,138,21,31,176,101,5,5,5,497,497,30,133
24,4,32,24,208,21,31,176,101,5,5,5,566,566,34,235
24,4,64,25,411,22,31,176,102,5,10,7,774,774,47,340
24,4,128,37,740,36,50,176,102,10,21,14,1155,1155,70,457
32,4,16,25,138,21,31,141,76,5,5,5,437,437,26,153
32,4,32,24,208,21,31,141,76,5,8,5,506,506,30,266
32,4,64,25,411,22,31,142,76,8,16,7,714,714,43,372
32,4,128,37,740,36,50,142,76,16,32,14,1095,1095,66,484
48,4,8,24,76,21,31,96,52,5,5,5,305,305,18,111
48,4,16,25,138,21,31,96,52,5,6,5,368,368,22,181
48,4,32,24,208,21,31,96,52,6,13,5,437,437,26,307
48,4,64,25,411,22,31,96,52,13,27,7,644,644,39,410
48,4,128,37,740,36,50,96,52,27,54,14,1025,1027,62,516
48,4,256,61,1440,69,94,178,92,54,109,28,1962,1979,120,533
72,4,8,24,76,21,31,65,36,5,5,5,258,258,15,133
72,4,16,25,138,21,31,65,36,5,10,5,321,321,19,210
72,4,32,24,208,21,31,65,36,10,21,5,390,390,23,347
72,4,64,25,411,22,31,65,36,21,43,7,597,604,36,444
72,4,128,37,740,36,50,65,36,43,87,14,978,1029,62,516
72,4,256,61,1440,69,94,120,66,87,175,28,1878,1987,120,533
96,4,8,24,76,21,31,49,29,5,5,5,235,235,14,142
96,4,16,25,138,21,31,49,29,5,10,5,298,298,18,222
96,4,32,24,208,21,31,50,29,10,21,5,368,368,22,363
96,4,64,25,411,22,31,50,29,21,43,7,575,589,35,457
96,4,128,37,740,36,50,87,50,43,87,14,1014,1051,64,500
96,4,256,61,1440,69,94,177,91,87,175,28,1960,2044,124,516
144,4,8,24,76,21,31,34,20,5,5,5,211,211,12,166
144,4,16,25,138,21,31,34,20,5,10,5,274,274,16,250
144,4,32,24,208,21,31,34,20,10,21,5,343,344,20,400
144,4,64,25,411,22,31,34,21,21,43,7,551,573,34,470
144,4,128,37,740,36,50,62,34,43,87,14,973,1026,62,516
144,4,256,61,1440,69,94,119,65,87,175,28,1876,1986,120,533
288,4,8,24,76,21,31,20,11,5,5,5,188,188,11,181
288,4,16,25,138,21,31,20,11,5,10,5,251,251,15,266
288,4,32,24,208,21,31,20,11,10,21,5,320,330,20,400
288,4,64,25,411,22,31,33,18,21,43,7,547,572,34,470
288,4,128,37,740,36,50,61,33,43,87,14,971,1025,62,516
288,4,256,61,1440,69,94,119,64,87,175,28,1875,1986,120,533
16,8,64,21,371,13,31,278,145,5,5,8,867,867,52,153
16,8,128,30,755,21,50,278,145,5,5,16,1295,1295,78,205
24,8,32,21,190,13,31,176,101,5,5,5,537,537,32,125
24,8,64,21,371,13,31,176,102,5,5,8,722,722,44,181
24,8,128,30,755,21,50,176,102,5,10,16,1150,1150,70,228
32,8,32,21,190,13,31,141,76,5,5,5,477,477,29,137
32,8,64,21,371,13,31,141,76,5,8,8,661,661,40,200
32,8,128,30,755,21,50,142,76,8,16,16,1090,1090,66,242
48,8,16,22,122,13,31,96,52,5,5,5,341,341,20,100
48,8,32,21,190,13,31,96,52,5,6,5,408,408,24,166
48,8,64,21,371,13,31,96,52,6,13,8,592,592,36,222
48,8,128,30,755,21,50,96,52,13,27,16,1020,1020,62,258
48,8,256,49,1468,37,94,96,53,27,54,33,1830,1831,111,288
72,8,16,22,122,13,31,65,36,5,5,5,294,294,17,117
72,8,32,21,190,13,31,65,36,5,10,5,361,361,22,181
72,8,64,21,371,13,31,65,36,10,21,8,545,545,33,242
72,8,128,30,755,21,50,65,36,21,43,16,973,980,59,271
72,8,256,49,1468,37,94,65,36,43,87,33,1782,1833,111,288
96,8,8,22,54,13,31,49,29,5,5,5,203,203,12,83
96,8,16,22,122,13,31,49,29,5,5,5,271,271,16,125
96,8,32,21,190,13,31,49,29,5,10,5,338,338,20,200
96,8,64,21,371,13,31,50,29,10,21,8,523,523,31,258
96,8,128,30,755,21,50,50,29,21,43,16,951,965,58,275
96,8,256,49,1468,37,94,87,50,43,87,33,1818,1855,113,283
144,8,8,22,54,13,31,34,20,5,5,5,179,179,10,100
144,8,16,22,122,13,31,34,20,5,5,5,247,247,15,133
144,8,32,21,190,13,31,34,20,5,10,5,314,314,19,210
144,8,64,21,371,13,31,34,20,10,21,8,498,499,30,266
144,8,128,30,755,21,50,34,21,21,43,16,927,949,57,280
144,8,256,49,1468,37,94,62,34,43,87,33,1777,1830,111,288
288,8,8,22,54,13,31,20,11,5,5,5,156,156,9,111
288,8,16,22,122,13,31,20,11,5,5,5,224,224,13,153
288,8,32,21,190,13,31,20,11,5,10,5,291,291,17,235
288,8,64,21,371,13,31,20,11,10,21,8,475,485,29,275
288,8,128,30,755,21,50,33,18,21,43,16,923,948,57,280
288,8,256,49,1468,37,94,61,33,43,87,33,1775,1829,111,288
