b,s_q,mean_sk,h_q,h_kv,d,dv,causal,varlen,latency,tflops,bandwidth
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
8,1,5000,128,1,576,512,True,False,0.119,94,406
,,,,,,,,,,,
8,1,5000,128,1,576,512,True,True,0.110,97,423
,,,,,,,,,,,
8,1,5000,64,1,576,512,True,False,0.077,72,611
,,,,,,,,,,,
8,1,5000,64,1,576,512,True,True,0.076,76,640
,,,,,,,,,,,
8,1,5000,32,1,576,512,True,False,0.076,37,611
,,,,,,,,,,,
8,1,5000,32,1,576,512,True,True,0.077,30,504
,,,,,,,,,,,
8,1,5000,16,1,576,512,True,False,0.077,18,602
,,,,,,,,,,,
8,1,5000,16,1,576,512,True,True,0.078,19,636
,,,,,,,,,,,
16,1,5000,128,1,576,512,True,False,0.215,104,449
,,,,,,,,,,,
16,1,5000,128,1,576,512,True,True,0.212,116,501
,,,,,,,,,,,
16,1,5000,64,1,576,512,True,False,0.119,93,790
,,,,,,,,,,,
16,1,5000,64,1,576,512,True,True,0.109,93,789
,,,,,,,,,,,
16,1,5000,32,1,576,512,True,False,0.072,77,1295
,,,,,,,,,,,
16,1,5000,32,1,576,512,True,True,0.079,72,1201
,,,,,,,,,,,
16,1,5000,16,1,576,512,True,False,0.074,38,1258
,,,,,,,,,,,
16,1,5000,16,1,576,512,True,True,0.072,46,1518
,,,,,,,,,,,
32,1,5000,128,1,576,512,True,False,0.370,120,522
,,,,,,,,,,,
32,1,5000,128,1,576,512,True,True,0.332,126,548
,,,,,,,,,,,
32,1,5000,64,1,576,512,True,False,0.195,114,967
,,,,,,,,,,,
32,1,5000,64,1,576,512,True,True,0.208,122,1032
,,,,,,,,,,,
32,1,5000,32,1,576,512,True,False,0.104,108,1801
,,,,,,,,,,,
32,1,5000,32,1,576,512,True,True,0.114,99,1660
,,,,,,,,,,,
32,1,5000,16,1,576,512,True,False,0.072,78,2591
,,,,,,,,,,,
32,1,5000,16,1,576,512,True,True,0.071,72,2404
,,,,,,,,,,,
64,1,5000,128,1,576,512,True,False,0.648,137,596
,,,,,,,,,,,
64,1,5000,128,1,576,512,True,True,0.650,140,606
,,,,,,,,,,,
64,1,5000,64,1,576,512,True,False,0.342,130,1102
,,,,,,,,,,,
64,1,5000,64,1,576,512,True,True,0.358,129,1096
,,,,,,,,,,,
64,1,5000,32,1,576,512,True,False,0.176,127,2121
,,,,,,,,,,,
64,1,5000,32,1,576,512,True,True,0.202,116,1939
,,,,,,,,,,,
64,1,5000,16,1,576,512,True,False,0.095,118,3919
,,,,,,,,,,,
64,1,5000,16,1,576,512,True,True,0.107,103,3433
,,,,,,,,,,,
128,1,5000,128,1,576,512,True,False,1.217,147,635
,,,,,,,,,,,
128,1,5000,128,1,576,512,True,True,1.251,144,624
,,,,,,,,,,,
128,1,5000,64,1,576,512,True,False,0.632,141,1194
,,,,,,,,,,,
128,1,5000,64,1,576,512,True,True,0.699,132,1118
,,,,,,,,,,,
128,1,5000,32,1,576,512,True,False,0.318,140,2348
,,,,,,,,,,,
128,1,5000,32,1,576,512,True,True,0.366,123,2052
,,,,,,,,,,,
128,1,5000,16,1,576,512,True,False,0.168,133,4426
,,,,,,,,,,,
128,1,5000,16,1,576,512,True,True,0.224,101,3367
,,,,,,,,,,,
256,1,5000,128,1,576,512,True,False,2.356,151,656
,,,,,,,,,,,
256,1,5000,128,1,576,512,True,True,2.479,148,639
,,,,,,,,,,,
256,1,5000,64,1,576,512,True,False,1.211,147,1247
,,,,,,,,,,,
256,1,5000,64,1,576,512,True,True,1.254,136,1155
,,,,,,,,,,,
256,1,5000,32,1,576,512,True,False,0.605,147,2465
,,,,,,,,,,,
256,1,5000,32,1,576,512,True,True,0.730,123,2065
,,,,,,,,,,,
256,1,5000,16,1,576,512,True,False,0.311,143,4771
,,,,,,,,,,,
256,1,5000,16,1,576,512,True,True,0.397,114,3800
