d,num_groups,b_mla,m_per_group,matrix_idx,tp,m,n,k,time_us,throughput_TFLOPS,bandwidth_GBps
48,6,128,256,8,1,256,7168,2048,190,237,596
48,6,256,512,7,1,512,4096,7168,668,270,334
48,6,256,512,8,1,512,7168,2048,377,239,367
72,4,8,16,7,1,16,4096,7168,65,58,1816
72,4,8,16,8,1,16,7168,2048,36,52,1654
72,4,16,32,7,1,32,4096,7168,65,115,1827
72,4,16,32,8,1,32,7168,2048,36,104,1679
72,4,32,64,7,1,64,4096,7168,65,230,1855
72,4,32,64,8,1,64,7168,2048,36,206,1728
72,4,64,128,7,1,128,4096,7168,120,250,1044
72,4,64,128,8,1,128,7168,2048,66,227,1013
72,4,128,256,7,1,256,4096,7168,235,256,566
72,4,128,256,8,1,256,7168,2048,128,236,592
72,4,256,512,7,1,512,4096,7168,468,257,318
72,4,256,512,8,1,512,7168,2048,252,238,366
96,3,8,32,7,1,32,4096,7168,50,113,1799
96,3,8,32,8,1,32,7168,2048,29,97,1564
96,3,16,64,7,1,64,4096,7168,50,227,1829
96,3,16,64,8,1,64,7168,2048,29,192,1606
96,3,32,128,7,1,128,4096,7168,88,257,1072
96,3,32,128,8,1,128,7168,2048,50,226,1011
96,3,64,256,7,1,256,4096,7168,178,254,562
96,3,64,256,8,1,256,7168,2048,91,248,622
96,3,128,512,7,1,512,4096,7168,336,269,333
96,3,128,512,8,1,512,7168,2048,190,237,364
96,3,256,1024,7,1,1024,4096,7168,668,270,202
96,3,256,1024,8,1,1024,7168,2048,376,240,251
144,2,8,32,7,1,32,4096,7168,34,110,1754
144,2,8,32,8,1,32,7168,2048,20,92,1488
144,2,16,64,7,1,64,4096,7168,34,219,1767
144,2,16,64,8,1,64,7168,2048,21,182,1527
144,2,32,128,7,1,128,4096,7168,62,243,1012
144,2,32,128,8,1,128,7168,2048,34,219,979
144,2,64,256,7,1,256,4096,7168,120,251,557
144,2,64,256,8,1,256,7168,2048,65,231,579
144,2,128,512,7,1,512,4096,7168,235,256,317
144,2,128,512,8,1,512,7168,2048,127,236,362
144,2,256,1024,7,1,1024,4096,7168,468,257,193
144,2,256,1024,8,1,1024,7168,2048,252,239,250
288,1,8,64,7,1,64,4096,7168,20,187,1512
288,1,8,64,8,1,64,7168,2048,11,173,1445
288,1,16,128,7,1,128,4096,7168,33,229,956
288,1,16,128,8,1,128,7168,2048,18,212,947
288,1,32,256,7,1,256,4096,7168,61,247,547
288,1,32,256,8,1,256,7168,2048,33,227,571
288,1,64,512,7,1,512,4096,7168,119,253,313
288,1,64,512,8,1,512,7168,2048,65,233,357
288,1,128,1024,7,1,1024,4096,7168,234,257,193
288,1,128,1024,8,1,1024,7168,2048,128,235,246
288,1,256,2048,7,1,2048,4096,7168,468,257,130
288,1,256,2048,8,1,2048,7168,2048,253,237,190
16,18,16,4,7,1,4,4096,7168,278,15,1906
16,18,16,4,8,1,4,7168,2048,145,15,1827
16,18,32,8,7,1,8,4096,7168,278,30,1907
16,18,32,8,8,1,8,7168,2048,145,29,1833
16,18,64,16,7,1,16,4096,7168,278,61,1914
16,18,64,16,8,1,16,7168,2048,146,58,1848
16,18,128,32,7,1,32,4096,7168,278,121,1930
16,18,128,32,8,1,32,7168,2048,146,116,1878
24,12,8,4,7,1,4,4096,7168,176,16,2010
24,12,8,4,8,1,4,7168,2048,101,14,1745
24,12,16,8,7,1,8,4096,7168,176,32,2012
24,12,16,8,8,1,8,7168,2048,102,28,1751
24,12,32,16,7,1,16,4096,7168,176,64,2017
24,12,32,16,8,1,16,7168,2048,102,55,1764
24,12,64,32,7,1,32,4096,7168,176,128,2031
24,12,64,32,8,1,32,7168,2048,102,111,1791
24,12,128,64,7,1,64,4096,7168,176,256,2064
24,12,128,64,8,1,64,7168,2048,102,221,1852
32,9,8,4,7,1,4,4096,7168,141,15,1875
32,9,8,4,8,1,4,7168,2048,76,14,1750
32,9,16,8,7,1,8,4096,7168,141,30,1876
32,9,16,8,8,1,8,7168,2048,76,28,1753
32,9,32,16,7,1,16,4096,7168,142,60,1880
32,9,32,16,8,1,16,7168,2048,76,55,1765
32,9,64,32,7,1,32,4096,7168,142,119,1896
32,9,64,32,8,1,32,7168,2048,76,111,1792
32,9,128,64,7,1,64,4096,7168,142,238,1925
32,9,128,64,8,1,64,7168,2048,77,219,1834
32,9,256,128,7,1,128,4096,7168,270,251,1044
32,9,256,128,8,1,128,7168,2048,137,247,1104
48,6,8,8,7,1,8,4096,7168,96,29,1847
48,6,8,8,8,1,8,7168,2048,52,27,1715
48,6,16,16,7,1,16,4096,7168,96,59,1849
48,6,16,16,8,1,16,7168,2048,52,54,1732
48,6,32,32,7,1,32,4096,7168,96,117,1862
48,6,32,32,8,1,32,7168,2048,52,108,1744
48,6,64,64,7,1,64,4096,7168,96,234,1889
48,6,64,64,8,1,64,7168,2048,53,215,1796
48,6,128,128,7,1,128,4096,7168,178,254,1057
48,6,128,128,8,1,128,7168,2048,92,246,1096
48,6,256,256,7,1,256,4096,7168,336,269,595
48,6,256,256,8,1,256,7168,2048,190,237,595
72,4,8,8,7,1,8,4096,7168,65,29,1817
72,4,8,8,8,1,8,7168,2048,36,26,1651
72,4,16,16,7,1,16,4096,7168,65,58,1817
72,4,16,16,8,1,16,7168,2048,36,52,1662
72,4,32,32,7,1,32,4096,7168,65,115,1830
72,4,32,32,8,1,32,7168,2048,36,104,1683
72,4,64,64,7,1,64,4096,7168,66,229,1847
72,4,64,64,8,1,64,7168,2048,36,207,1729
72,4,128,128,7,1,128,4096,7168,120,251,1044
72,4,128,128,8,1,128,7168,2048,66,226,1010
72,4,256,256,7,1,256,4096,7168,235,256,566
72,4,256,256,8,1,256,7168,2048,128,235,591
96,3,8,16,7,1,16,4096,7168,49,57,1800
96,3,8,16,8,1,16,7168,2048,29,48,1541
96,3,16,32,7,1,32,4096,7168,50,113,1799
96,3,16,32,8,1,32,7168,2048,29,97,1564
96,3,32,64,7,1,64,4096,7168,50,226,1826
96,3,32,64,8,1,64,7168,2048,29,192,1609
96,3,64,128,7,1,128,4096,7168,88,257,1073
96,3,64,128,8,1,128,7168,2048,50,226,1010
96,3,128,256,7,1,256,4096,7168,177,254,563
96,3,128,256,8,1,256,7168,2048,91,248,622
96,3,256,512,7,1,512,4096,7168,336,268,332
96,3,256,512,8,1,512,7168,2048,190,238,365
144,2,8,16,7,1,16,4096,7168,34,55,1746
144,2,8,16,8,1,16,7168,2048,20,46,1475
144,2,16,32,7,1,32,4096,7168,34,110,1752
144,2,16,32,8,1,32,7168,2048,20,92,1494
144,2,32,64,7,1,64,4096,7168,34,220,1776
144,2,32,64,8,1,64,7168,2048,21,183,1529
144,2,64,128,7,1,128,4096,7168,62,243,1014
144,2,64,128,8,1,128,7168,2048,34,219,977
144,2,128,256,7,1,256,4096,7168,120,251,555
144,2,128,256,8,1,256,7168,2048,65,230,578
144,2,256,512,7,1,512,4096,7168,235,256,317
144,2,256,512,8,1,512,7168,2048,127,237,363
288,1,8,32,7,1,32,4096,7168,20,95,1501
288,1,8,32,8,1,32,7168,2048,11,89,1432
288,1,16,64,7,1,64,4096,7168,20,188,1517
288,1,16,64,8,1,64,7168,2048,11,173,1450
288,1,32,128,7,1,128,4096,7168,33,230,957
288,1,32,128,8,1,128,7168,2048,18,212,944
288,1,64,256,7,1,256,4096,7168,61,247,546
288,1,64,256,8,1,256,7168,2048,33,226,568
288,1,128,512,7,1,512,4096,7168,119,252,312
288,1,128,512,8,1,512,7168,2048,65,233,357
288,1,256,1024,7,1,1024,4096,7168,234,257,193
288,1,256,1024,8,1,1024,7168,2048,128,236,247
16,18,32,4,7,1,4,4096,7168,278,15,1906
16,18,32,4,8,1,4,7168,2048,145,15,1826
16,18,64,8,7,1,8,4096,7168,278,30,1908
16,18,64,8,8,1,8,7168,2048,145,29,1835
16,18,128,16,7,1,16,4096,7168,278,61,1915
16,18,128,16,8,1,16,7168,2048,146,58,1847
24,12,16,4,7,1,4,4096,7168,176,16,2011
24,12,16,4,8,1,4,7168,2048,101,14,1746
24,12,32,8,7,1,8,4096,7168,176,32,2012
24,12,32,8,8,1,8,7168,2048,101,28,1751
24,12,64,16,7,1,16,4096,7168,176,64,2019
24,12,64,16,8,1,16,7168,2048,102,55,1763
24,12,128,32,7,1,32,4096,7168,176,128,2033
24,12,128,32,8,1,32,7168,2048,102,111,1794
32,9,16,4,7,1,4,4096,7168,141,15,1877
32,9,16,4,8,1,4,7168,2048,76,14,1755
32,9,32,8,7,1,8,4096,7168,141,30,1875
32,9,32,8,8,1,8,7168,2048,76,28,1752
32,9,64,16,7,1,16,4096,7168,142,60,1881
32,9,64,16,8,1,16,7168,2048,76,56,1768
32,9,128,32,7,1,32,4096,7168,142,119,1894
32,9,128,32,8,1,32,7168,2048,76,111,1790
32,9,256,64,7,1,64,4096,7168,142,238,1922
32,9,256,64,8,1,64,7168,2048,77,220,1839
48,6,8,4,7,1,4,4096,7168,96,15,1844
48,6,8,4,8,1,4,7168,2048,52,14,1705
48,6,16,8,7,1,8,4096,7168,96,29,1848
48,6,16,8,8,1,8,7168,2048,52,27,1706
48,6,32,16,7,1,16,4096,7168,96,59,1850
48,6,32,16,8,1,16,7168,2048,52,54,1725
48,6,64,32,7,1,32,4096,7168,96,117,1866
48,6,64,32,8,1,32,7168,2048,52,108,1746
48,6,128,64,7,1,64,4096,7168,96,234,1889
48,6,128,64,8,1,64,7168,2048,52,215,1800
48,6,256,128,7,1,128,4096,7168,178,254,1058
48,6,256,128,8,1,128,7168,2048,92,245,1094
72,4,8,4,7,1,4,4096,7168,65,14,1806
72,4,8,4,8,1,4,7168,2048,36,13,1642
72,4,16,8,7,1,8,4096,7168,65,29,1811
72,4,16,8,8,1,8,7168,2048,36,26,1646
72,4,32,16,7,1,16,4096,7168,65,58,1819
72,4,32,16,8,1,16,7168,2048,36,52,1664
72,4,64,32,7,1,32,4096,7168,65,115,1828
72,4,64,32,8,1,32,7168,2048,36,104,1686
72,4,128,64,7,1,64,4096,7168,65,230,1853
72,4,128,64,8,1,64,7168,2048,36,207,1734
72,4,256,128,7,1,128,4096,7168,120,251,1045
72,4,256,128,8,1,128,7168,2048,66,227,1012
96,3,8,8,7,1,8,4096,7168,49,29,1792
96,3,8,8,8,1,8,7168,2048,29,24,1540
96,3,16,16,7,1,16,4096,7168,49,57,1797
96,3,16,16,8,1,16,7168,2048,29,49,1550
96,3,32,32,7,1,32,4096,7168,50,113,1802
96,3,32,32,8,1,32,7168,2048,29,97,1568
96,3,64,64,7,1,64,4096,7168,50,227,1829
96,3,64,64,8,1,64,7168,2048,29,192,1610
96,3,128,128,7,1,128,4096,7168,87,258,1077
96,3,128,128,8,1,128,7168,2048,50,226,1011
96,3,256,256,7,1,256,4096,7168,177,255,564
96,3,256,256,8,1,256,7168,2048,91,247,620
144,2,8,8,7,1,8,4096,7168,34,28,1749
144,2,8,8,8,1,8,7168,2048,20,23,1460
144,2,16,16,7,1,16,4096,7168,34,55,1747
144,2,16,16,8,1,16,7168,2048,20,46,1474
144,2,32,32,7,1,32,4096,7168,34,110,1750
144,2,32,32,8,1,32,7168,2048,20,92,1490
144,2,64,64,7,1,64,4096,7168,34,219,1772
144,2,64,64,8,1,64,7168,2048,21,183,1532
144,2,128,128,7,1,128,4096,7168,62,242,1010
144,2,128,128,8,1,128,7168,2048,34,220,980
144,2,256,256,7,1,256,4096,7168,119,252,557
144,2,256,256,8,1,256,7168,2048,65,230,579
288,1,8,16,7,1,16,4096,7168,20,47,1495
288,1,8,16,8,1,16,7168,2048,11,45,1416
288,1,16,32,7,1,32,4096,7168,20,95,1504
288,1,16,32,8,1,32,7168,2048,11,88,1421
288,1,32,64,7,1,64,4096,7168,20,188,1515
288,1,32,64,8,1,64,7168,2048,11,173,1444
288,1,64,128,7,1,128,4096,7168,33,230,960
288,1,64,128,8,1,128,7168,2048,18,211,941
288,1,128,256,7,1,256,4096,7168,61,246,545
288,1,128,256,8,1,256,7168,2048,33,227,570
288,1,256,512,7,1,512,4096,7168,119,252,312
288,1,256,512,8,1,512,7168,2048,64,234,359
16,18,64,4,7,1,4,4096,7168,278,15,1905
16,18,64,4,8,1,4,7168,2048,145,15,1827
16,18,128,8,7,1,8,4096,7168,278,30,1908
16,18,128,8,8,1,8,7168,2048,145,29,1833
24,12,32,4,7,1,4,4096,7168,176,16,2010
24,12,32,4,8,1,4,7168,2048,101,14,1746
24,12,64,8,7,1,8,4096,7168,176,32,2013
24,12,64,8,8,1,8,7168,2048,102,28,1748
24,12,128,16,7,1,16,4096,7168,176,64,2019
24,12,128,16,8,1,16,7168,2048,102,55,1765
32,9,32,4,7,1,4,4096,7168,141,15,1877
32,9,32,4,8,1,4,7168,2048,76,14,1748
32,9,64,8,7,1,8,4096,7168,141,30,1878
32,9,64,8,8,1,8,7168,2048,76,28,1749
32,9,128,16,7,1,16,4096,7168,142,60,1883
32,9,128,16,8,1,16,7168,2048,76,56,1769
32,9,256,32,7,1,32,4096,7168,142,119,1893
32,9,256,32,8,1,32,7168,2048,76,111,1790
48,6,16,4,7,1,4,4096,7168,96,15,1845
48,6,16,4,8,1,4,7168,2048,52,14,1713
48,6,32,8,7,1,8,4096,7168,96,29,1845
48,6,32,8,8,1,8,7168,2048,52,27,1710
48,6,64,16,7,1,16,4096,7168,96,59,1847
48,6,64,16,8,1,16,7168,2048,52,54,1725
48,6,128,32,7,1,32,4096,7168,96,117,1865
48,6,128,32,8,1,32,7168,2048,52,108,1747
48,6,256,64,7,1,64,4096,7168,96,234,1891
48,6,256,64,8,1,64,7168,2048,53,214,1792
72,4,16,4,7,1,4,4096,7168,65,14,1814
72,4,16,4,8,1,4,7168,2048,36,13,1639
72,4,32,8,7,1,8,4096,7168,65,29,1821
72,4,32,8,8,1,8,7168,2048,36,26,1650
72,4,64,16,7,1,16,4096,7168,65,58,1819
72,4,64,16,8,1,16,7168,2048,36,52,1665
72,4,128,32,7,1,32,4096,7168,65,115,1827
72,4,128,32,8,1,32,7168,2048,36,104,1677
72,4,256,64,7,1,64,4096,7168,65,230,1856
72,4,256,64,8,1,64,7168,2048,36,207,1733
96,3,8,4,7,1,4,4096,7168,49,14,1792
96,3,8,4,8,1,4,7168,2048,29,12,1536
96,3,16,8,7,1,8,4096,7168,49,29,1795
96,3,16,8,8,1,8,7168,2048,29,24,1544
96,3,32,16,7,1,16,4096,7168,49,57,1798
96,3,32,16,8,1,16,7168,2048,29,49,1549
96,3,64,32,7,1,32,4096,7168,50,113,1799
96,3,64,32,8,1,32,7168,2048,29,97,1575
96,3,128,64,7,1,64,4096,7168,50,227,1830
96,3,128,64,8,1,64,7168,2048,29,192,1607
96,3,256,128,7,1,128,4096,7168,87,258,1076
96,3,256,128,8,1,128,7168,2048,50,227,1013
144,2,8,4,7,1,4,4096,7168,34,14,1743
144,2,8,4,8,1,4,7168,2048,20,12,1455
144,2,16,8,7,1,8,4096,7168,34,28,1745
144,2,16,8,8,1,8,7168,2048,20,23,1462
144,2,32,16,7,1,16,4096,7168,34,55,1746
144,2,32,16,8,1,16,7168,2048,20,46,1475
144,2,64,32,7,1,32,4096,7168,34,111,1759
144,2,64,32,8,1,32,7168,2048,20,92,1492
144,2,128,64,7,1,64,4096,7168,34,219,1768
144,2,128,64,8,1,64,7168,2048,21,183,1530
144,2,256,128,7,1,128,4096,7168,62,243,1011
144,2,256,128,8,1,128,7168,2048,34,219,979
288,1,8,8,7,1,8,4096,7168,20,24,1491
288,1,8,8,8,1,8,7168,2048,11,22,1393
288,1,16,16,7,1,16,4096,7168,20,47,1491
288,1,16,16,8,1,16,7168,2048,11,44,1405
288,1,32,32,7,1,32,4096,7168,20,95,1504
288,1,32,32,8,1,32,7168,2048,11,88,1427
288,1,64,64,7,1,64,4096,7168,20,188,1520
288,1,64,64,8,1,64,7168,2048,11,174,1453
288,1,128,128,7,1,128,4096,7168,33,230,960
288,1,128,128,8,1,128,7168,2048,18,211,943
288,1,256,256,7,1,256,4096,7168,61,247,546
288,1,256,256,8,1,256,7168,2048,33,227,570
