d,num_groups,b_mla,m_per_group,matrix_idx,tp,m,n,k,time_us,throughput_TFLOPS,bandwidth_GBps
16,18,8,4,7,1,4,4096,7168,278,15,1904
16,18,8,4,8,1,4,7168,2048,145,15,1825
16,18,16,8,7,1,8,4096,7168,278,30,1908
16,18,16,8,8,1,8,7168,2048,145,29,1833
16,18,32,16,7,1,16,4096,7168,278,61,1914
16,18,32,16,8,1,16,7168,2048,145,58,1849
16,18,64,32,7,1,32,4096,7168,279,121,1928
16,18,64,32,8,1,32,7168,2048,146,116,1881
16,18,128,64,7,1,64,4096,7168,278,243,1961
16,18,128,64,8,1,64,7168,2048,146,232,1941
24,12,8,8,7,1,8,4096,7168,176,32,2013
24,12,8,8,8,1,8,7168,2048,102,28,1749
24,12,16,16,7,1,16,4096,7168,176,64,2019
24,12,16,16,8,1,16,7168,2048,102,55,1765
24,12,32,32,7,1,32,4096,7168,176,128,2033
24,12,32,32,8,1,32,7168,2048,102,111,1794
24,12,64,64,7,1,64,4096,7168,176,256,2066
24,12,64,64,8,1,64,7168,2048,102,221,1854
24,12,128,128,7,1,128,4096,7168,336,268,1117
24,12,128,128,8,1,128,7168,2048,192,235,1048
32,9,8,8,7,1,8,4096,7168,141,30,1876
32,9,8,8,8,1,8,7168,2048,76,28,1756
32,9,16,16,7,1,16,4096,7168,142,60,1881
32,9,16,16,8,1,16,7168,2048,76,55,1764
32,9,32,32,7,1,32,4096,7168,142,119,1892
32,9,32,32,8,1,32,7168,2048,76,111,1793
32,9,64,64,7,1,64,4096,7168,142,238,1925
32,9,64,64,8,1,64,7168,2048,77,219,1835
32,9,128,128,7,1,128,4096,7168,270,251,1045
32,9,128,128,8,1,128,7168,2048,137,247,1102
32,9,256,256,7,1,256,4096,7168,535,253,560
32,9,256,256,8,1,256,7168,2048,273,247,621
48,6,8,16,7,1,16,4096,7168,96,59,1847
48,6,8,16,8,1,16,7168,2048,52,54,1726
48,6,16,32,7,1,32,4096,7168,96,117,1864
48,6,16,32,8,1,32,7168,2048,52,108,1750
48,6,32,64,7,1,64,4096,7168,96,235,1897
48,6,32,64,8,1,64,7168,2048,52,215,1804
48,6,64,128,7,1,128,4096,7168,178,254,1057
48,6,64,128,8,1,128,7168,2048,92,245,1096
48,6,128,256,7,1,256,4096,7168,336,268,595
