matrix_idx,tp,m,n,k,time_us,throughput_TFLOPS,bandwidth_GBps
1,1,8,2112,7168,15,16,992
2,1,8,24576,1536,24,25,1571
2,2,8,12288,1536,14,22,1403
2,4,8,6144,1536,7,20,1276
2,8,8,3072,1536,5,14,905
4,1,8,7168,16384,62,31,1912
4,2,8,7168,8192,33,28,1784
4,4,8,7168,4096,19,25,1593
4,8,8,7168,2048,11,22,1361
5,1,8,4096,7168,20,24,1483
6,1,8,7168,2048,11,22,1365
1,1,16,2112,7168,15,33,1028
2,1,16,24576,1536,24,50,1588
2,2,16,12288,1536,14,44,1413
2,4,16,6144,1536,8,39,1261
2,8,16,3072,1536,5,28,913
4,1,16,7168,16384,62,61,1910
4,2,16,7168,8192,33,57,1793
4,4,16,7168,4096,19,50,1590
4,8,16,7168,2048,11,43,1367
5,1,16,4096,7168,20,47,1493
6,1,16,7168,2048,11,43,1370
1,1,32,2112,7168,14,71,1138
2,1,32,24576,1536,24,99,1612
2,2,32,12288,1536,14,88,1440
2,4,32,6144,1536,8,80,1303
2,8,32,3072,1536,5,56,926
4,1,32,7168,16384,62,122,1916
4,2,32,7168,8192,33,114,1797
4,4,32,7168,4096,19,100,1601
4,8,32,7168,2048,11,86,1390
5,1,32,4096,7168,20,95,1509
6,1,32,7168,2048,11,86,1387
1,1,64,2112,7168,14,142,1161
2,1,64,24576,1536,25,196,1663
2,2,64,12288,1536,14,174,1482
2,4,64,6144,1536,8,157,1344
2,8,64,3072,1536,5,115,988
4,1,64,7168,16384,62,243,1927
4,2,64,7168,8192,33,226,1811
4,4,64,7168,4096,19,200,1622
4,8,64,7168,2048,11,170,1420
5,1,64,4096,7168,20,188,1517
6,1,64,7168,2048,11,170,1427
1,1,128,2112,7168,20,199,851
2,1,128,24576,1536,43,224,1026
2,2,128,12288,1536,22,217,996
2,4,128,6144,1536,12,199,925
2,8,128,3072,1536,7,165,779
4,1,128,7168,16384,115,262,1058
4,2,128,7168,8192,60,251,1030
4,4,128,7168,4096,32,233,985
4,8,128,7168,2048,18,209,935
5,1,128,4096,7168,32,232,966
6,1,128,7168,2048,18,211,940
1,1,256,2112,7168,32,241,561
2,1,256,24576,1536,82,236,619
2,2,256,12288,1536,43,226,598
2,4,256,6144,1536,22,224,601
2,8,256,3072,1536,12,202,558
4,1,256,7168,16384,226,266,554
4,2,256,7168,8192,116,259,556
4,4,256,7168,4096,62,244,554
4,8,256,7168,2048,33,225,566
5,1,256,4096,7168,61,248,550
6,1,256,7168,2048,33,226,567
