d,tp,b_mla,QKV(us),ATTN(us),O(us),Shared(us),Up_Gemm(us),Down_Gemm(us),Dispatch_AlltoAll(us),Combine_AlltoAll(us),AllReduce(us),t_{dense_layer}(us),t_{moe_layer}(us),TPOT(ms),Single-Device Throughput(Tokens/s)
288,4,8,37,77,18,39,81,0,5,5,5,514,514,31,129
288,4,16,35,79,15,31,82,0,5,10,5,494,494,30,266
288,4,32,36,114,16,33,94,0,10,21,5,596,596,36,444
288,4,64,36,202,16,33,139,0,21,43,7,866,866,52,615
288,4,128,43,366,31,35,135,0,43,87,14,1248,1248,76,842
288,4,256,50,730,48,66,150,0,87,175,28,2144,2144,130,984
16,8,64,36,107,10,33,210,0,5,5,8,808,808,49,326
16,8,128,39,224,11,35,225,0,5,5,16,1100,1100,67,477
24,8,32,36,71,11,33,169,0,5,5,5,650,650,39,205
24,8,64,36,107,10,33,169,0,5,5,8,726,726,44,363
24,8,128,39,224,11,35,172,0,5,10,16,994,994,60,533
32,8,32,36,71,11,33,146,0,5,5,5,604,604,36,222
32,8,64,36,107,10,33,147,0,5,8,8,682,682,41,390
32,8,128,39,224,11,35,149,0,8,16,16,948,948,57,561
32,8,256,40,397,19,66,168,0,16,32,33,1446,1446,88,727
48,8,16,34,72,8,31,125,0,5,5,5,550,550,33,121
48,8,32,36,71,11,33,125,0,5,6,5,562,562,34,235
48,8,64,36,107,10,33,127,0,6,13,8,642,642,39,410
48,8,128,39,224,11,35,135,0,13,27,16,920,920,56,571
48,8,256,40,397,19,66,149,0,27,54,33,1408,1408,85,752
72,8,16,34,72,8,31,110,0,5,5,5,520,520,31,129
72,8,32,36,71,11,33,110,0,5,10,5,532,532,32,250
72,8,64,36,107,10,33,111,0,10,21,8,610,610,37,432
72,8,128,39,224,11,35,114,0,21,43,16,878,878,53,603
72,8,256,40,397,19,66,131,0,43,87,33,1372,1372,83,771
96,8,8,34,78,10,39,98,0,5,5,5,528,528,32,62
96,8,16,34,72,8,31,98,0,5,5,5,496,496,30,133
96,8,32,36,71,11,33,99,0,5,10,5,510,510,31,258
96,8,64,36,107,10,33,101,0,10,21,8,590,590,35,457
96,8,128,39,224,11,35,114,0,21,43,16,878,878,53,603
96,8,256,40,397,19,66,172,0,43,87,33,1454,1454,88,727
144,8,8,34,78,10,39,91,0,5,5,5,514,514,31,64
144,8,16,34,72,8,31,90,0,5,5,5,480,480,29,137
144,8,32,36,71,11,33,93,0,5,10,5,498,498,30,266
144,8,64,36,107,10,33,95,0,10,21,8,578,578,35,457
144,8,128,39,224,11,35,104,0,21,43,16,858,858,52,615
144,8,256,40,397,19,66,156,0,43,87,33,1422,1422,86,744
288,8,8,34,78,10,39,80,0,5,5,5,492,492,30,66
288,8,16,34,72,8,31,81,0,5,5,5,462,462,28,142
288,8,32,36,71,11,33,82,0,5,10,5,476,476,29,275
288,8,64,36,107,10,33,93,0,10,21,8,574,574,35,457
288,8,128,39,224,11,35,137,0,21,43,16,924,924,56,571
288,8,256,40,397,19,66,137,0,43,87,33,1384,1384,84,761
