matrix_idx,tp,m,n,k,time_us,throughput_TFLOPS,bandwidth_GBps
1,1,8,2112,7168,28,9,546
2,1,8,24576,1536,11,53,3324
2,2,8,12288,1536,9,33,2069
2,4,8,6144,1536,9,17,1101
2,8,8,3072,1536,6,12,746
4,1,8,7168,16384,115,16,1023
4,2,8,7168,8192,33,29,1798
4,4,8,7168,4096,18,26,1656
4,8,8,7168,2048,10,23,1444
5,1,8,4096,7168,29,16,1027
6,1,8,7168,2048,10,23,1460
1,1,16,2112,7168,28,17,539
2,1,16,24576,1536,11,114,3644
2,2,16,12288,1536,8,79,2516
2,4,16,6144,1536,7,42,1330
2,8,16,3072,1536,6,27,856
4,1,16,7168,16384,104,36,1132
4,2,16,7168,8192,27,69,2182
4,4,16,7168,4096,15,61,1918
4,8,16,7168,2048,8,55,1759
5,1,16,4096,7168,22,43,1341
6,1,16,7168,2048,9,55,1739
1,1,32,2112,7168,28,34,549
2,1,32,24576,1536,15,160,2603
2,2,32,12288,1536,8,150,2442
2,4,32,6144,1536,8,80,1309
2,8,32,3072,1536,8,40,651
4,1,32,7168,16384,106,71,1114
4,2,32,7168,8192,27,139,2203
4,4,32,7168,4096,16,117,1872
4,8,32,7168,2048,11,88,1420
5,1,32,4096,7168,22,84,1333
6,1,32,7168,2048,11,88,1422
1,1,64,2112,7168,28,69,565
2,1,64,24576,1536,21,232,1966
2,2,64,12288,1536,14,172,1459
2,4,64,6144,1536,8,154,1313
2,8,64,3072,1536,8,76,654
4,1,64,7168,16384,103,146,1157
4,2,64,7168,8192,28,271,2167
4,4,64,7168,4096,16,229,1864
4,8,64,7168,2048,10,179,1502
5,1,64,4096,7168,23,165,1329
6,1,64,7168,2048,10,183,1534
1,1,128,2112,7168,29,135,580
2,1,128,24576,1536,39,249,1139
2,2,128,12288,1536,21,226,1038
2,4,128,6144,1536,14,171,794
2,8,128,3072,1536,10,117,551
4,1,128,7168,16384,145,207,837
4,2,128,7168,8192,54,279,1143
4,4,128,7168,4096,31,239,1008
4,8,128,7168,2048,11,346,1546
5,1,128,4096,7168,24,307,1279
6,1,128,7168,2048,11,345,1539
1,1,256,2112,7168,29,266,619
2,1,256,24576,1536,70,275,722
2,2,256,12288,1536,40,244,646
2,4,256,6144,1536,21,232,622
2,8,256,3072,1536,11,226,624
4,1,256,7168,16384,189,318,663
4,2,256,7168,8192,81,371,795
4,4,256,7168,4096,48,314,711
4,8,256,7168,2048,19,400,1003
5,1,256,4096,7168,47,317,701
6,1,256,7168,2048,19,398,1000
